init		K	homo	compl	v-meas	ARI	AMI
kmeans++	1	0.000	1.000	0.000	0.000	0.000
kmeans++	5	0.000	0.000	0.000	0.000	-0.000
kmeans++	10	0.000	0.000	0.000	0.000	0.000
kmeans++	15	0.000	0.000	0.000	-0.000	0.000
kmeans++	20	0.000	0.000	0.000	-0.000	0.000
kmeans++	30	0.000	0.000	0.000	0.000	0.000
kmeans++	40	0.002	0.000	0.001	0.000	0.000
kmeans++	50	0.001	0.000	0.000	0.000	0.000
random		1	0.000	1.000	0.000	0.000	0.000
random		5	0.000	0.000	0.000	0.000	0.000
random		10	0.000	0.000	0.000	0.000	-0.000
random		15	0.000	0.000	0.000	0.000	0.000
random		20	0.000	0.000	0.000	-0.000	0.000
random		30	0.000	0.000	0.000	0.000	-0.000
random		40	0.000	0.000	0.000	0.000	-0.000
random		50	0.000	0.000	0.000	-0.000	0.000	
